date,close,down,downSize,recovery,redMark,,val
7-Sep-12,2506.37,0,53.42,762,0,,0
10-Sep-12,2491.11,0,52.49,763,0,,0
11-Sep-12,2498.95,0,52.97,764,0,,0
12-Sep-12,2504.84,0,53.33,765,0,,0
13-Sep-12,2546.03,0,55.85,766,0,,0
14-Sep-12,2556.13,0,56.47,767,0,,0
17-Sep-12,2548.26,1,55.99,768,1,2568.55,2568.55
18-Sep-12,2545.05,1,55.79,769,1,,2568.55
19-Sep-12,2548.11,1,55.98,770,1,,2568.55
20-Sep-12,2547.11,1,55.92,771,1,,2568.55
21-Sep-12,2546.92,1,55.91,772,1,,2568.55
24-Sep-12,2541.23,1,55.56,773,1,,2568.55
25-Sep-12,2514.83,1,53.94,774,1,,2568.55
26-Sep-12,2500.92,1,53.09,775,1,,2568.55
27-Sep-12,2525.23,1,54.58,776,1,,2568.55
28-Sep-12,2513.93,1,53.89,777,1,,2568.55
1-Oct-12,2520.71,1,54.3,778,1,,2568.55
2-Oct-12,2523.08,1,54.45,779,1,,2568.55
3-Oct-12,2532.79,1,55.04,780,1,,2568.55
4-Oct-12,2550.98,1,56.15,781,1,,2568.55
5-Oct-12,2551.03,1,56.16,782,1,,2568.55
8-Oct-12,2542.21,1,55.62,783,1,,2568.55
9-Oct-12,2517.14,1,54.08,784,1,,2568.55
10-Oct-12,2501.75,1,53.14,785,1,,2568.55
